,Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold
374,375,527352150,60,69.22459016393442,13250,7,6,1978,1978,256.0,0.0,0.0,832.0,832.0,1154,896,0,7.62608275807238,0.0,0.0,2,1,4,1,8,1,1978.0,2.0,529.0,192,192,0,0,0,0,0,5,2009
1636,1637,527212060,60,98.0,12328,8,5,2005,2005,146.0,986.0,0.0,163.0,1149.0,1164,1377,0,7.8407064517494,1.0,0.0,3,1,4,1,10,1,2005.0,3.0,729.0,120,32,0,0,0,0,0,7,2007
2575,2576,535176050,20,80.0,11600,6,5,1960,1960,175.0,565.0,0.0,818.0,1383.0,1383,0,0,7.232733136177615,0.0,0.0,1,1,3,1,7,0,1960.0,1.0,292.0,0,45,0,0,0,0,0,4,2006
1962,1963,535452060,20,70.0,7000,5,7,1960,2002,45.0,588.0,0.0,422.0,1010.0,1134,0,0,7.034387929915503,0.0,0.0,1,0,2,1,6,0,1960.0,1.0,254.0,0,16,0,0,0,0,0,4,2007
84,85,532354090,85,88.0,11782,5,7,1961,1995,0.0,899.0,0.0,210.0,1109.0,1155,0,0,7.052721049232323,1.0,0.0,1,0,3,1,6,0,1987.0,2.0,576.0,192,0,0,0,0,0,400,6,2010
1452,1453,907227300,20,60.0,7200,5,7,1972,1972,0.0,632.0,0.0,148.0,780.0,780,0,0,6.660575149839686,0.0,0.0,1,0,2,1,4,0,1973.0,1.0,352.0,196,0,0,0,0,0,0,1,2008
2492,2493,532376250,20,69.22459016393442,8638,5,6,1963,1963,0.0,181.0,0.0,744.0,925.0,925,0,0,6.8308742346461795,1.0,0.0,1,0,2,1,5,0,1990.0,2.0,484.0,203,74,0,0,0,0,0,10,2006
2802,2803,907290160,120,37.0,4435,6,5,2003,2003,170.0,717.0,0.0,131.0,848.0,848,0,0,6.744059186311348,1.0,0.0,1,0,1,1,4,0,2003.0,2.0,420.0,140,0,0,0,0,0,0,4,2006
1862,1863,534104090,60,69.22459016393442,7050,7,5,2001,2001,0.0,738.0,0.0,319.0,1057.0,1057,872,0,7.5652752818989315,1.0,0.0,2,1,3,1,7,1,2001.0,2.0,650.0,0,235,0,0,0,0,0,5,2007
2179,2180,908152290,60,60.0,7023,5,5,2005,2006,0.0,611.0,0.0,123.0,734.0,734,674,0,7.25063551189868,1.0,0.0,2,1,3,1,6,0,2005.0,2.0,489.0,0,85,0,0,0,0,0,5,2007
