,Order,PID,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold
1840,1841,533208040,120,35.0,4274,7,5,2006,2007,101.8968008255934,1106.0,0.0,135.0,1241.0,1241,0,0,7.124478262493424,1.0,0.0,1,1,1,1,4,0,2007.0,2.0,569.0,0,116,0,0,0,0,0,11,2007
852,853,907200230,20,60.0,8430,5,5,1978,1978,136.0,616.0,0.0,424.0,1040.0,1040,0,0,6.947937068614969,0.0,0.0,2,0,3,1,5,0,1978.1324431613136,0.0,0.0,0,0,0,0,0,0,0,8,2009
1869,1870,534151180,60,78.0,10530,7,6,1993,1993,194.0,819.0,0.0,329.0,1148.0,1091,984,0,7.638198244285779,1.0,0.0,2,1,3,1,8,1,1993.0,2.0,473.0,235,86,0,0,0,0,0,8,2007
1534,1535,909277070,50,69.22459016393442,9260,5,4,1938,1950,0.0,0.0,0.0,884.0,884.0,932,442,0,7.226209010100671,0.0,0.0,1,0,3,1,6,0,1938.0,1.0,225.0,64,0,0,0,100,0,0,3,2008
37,38,528112020,20,98.0,11478,8,5,2007,2008,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,7.4413203897176174,1.0,0.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,0,0,0,0,5,2010
1519,1520,909177120,30,60.0,7290,7,8,1921,1950,174.0,0.0,0.0,1228.0,1228.0,1424,0,0,7.261927092702751,0.0,0.0,2,0,2,1,7,1,1921.0,1.0,312.0,0,0,90,0,0,0,0,4,2008
1014,1015,527252080,120,60.0,8118,9,5,2007,2007,178.0,1034.0,0.0,676.0,1710.0,1710,0,0,7.444833273892193,1.0,0.0,2,0,2,1,6,1,2007.0,2.0,557.0,156,48,0,0,0,0,0,7,2008
632,633,535154060,20,69.22459016393442,12285,7,6,1960,1960,128.0,544.0,0.0,785.0,1329.0,1329,0,0,7.1929342212158,0.0,0.0,1,1,3,1,5,2,1960.0,2.0,441.0,0,0,203,0,0,0,0,8,2009
2352,2353,527358090,85,69.22459016393442,9927,7,5,1976,1976,252.0,1005.0,0.0,42.0,1047.0,1083,0,0,6.988413181999592,1.0,0.0,1,0,2,1,5,1,1976.0,2.0,596.0,444,0,40,0,0,0,0,7,2006
1084,1085,528228540,20,53.0,3710,7,5,2007,2008,20.0,0.0,0.0,1146.0,1146.0,1246,0,0,7.1284959456800365,0.0,0.0,2,0,2,1,5,1,2007.0,2.0,428.0,100,24,0,0,0,0,0,3,2008
